,Index,Laureate,Discipline,Year of award,Affiliation
0,,Alexei Abrikosov,Physics,2003,Argonne National Laboratory
1,,Edgar Adrian,Physiology or Medicine,1932,University of Cambridge
2,,Peter Agre,Chemistry,2003,Johns Hopkins School of Medicine
3,,Isamu Akasaki,Physics,2014,Meijo University
4,,Nagoya University,,,
5,,George Akerlof,Economics,2001,"University of California, Berkeley"
6,,Kurt Alder,Chemistry,1950,University of Cologne
7,,Zhores Alferov,Physics,2000,Ioffe Institute
8,,Hannes Alfvén,Physics,1970,KTH Royal Institute of Technology
9,,Maurice Allais,Economics,1988,Mines ParisTech
10,,James P. Allison,Physiology or Medicine,2018,MD Anderson Cancer Center
11,,Parker Institute for Cancer Immunotherapy,,,
12,,Harvey J. Alter,Physiology or Medicine,2020,National Institutes of Health
13,,Sidney Altman,Chemistry,1989,Yale University
14,,Luis Walter Alvarez,Physics,1968,"University of California, Berkeley"
15,,Hiroshi Amano,Physics,2014,Nagoya University
16,,Carl David Anderson,Physics,1936,California Institute of Technology
17,,Philip W. Anderson,Physics,1977,Bell Labs
18,,Christian B. Anfinsen,Chemistry,1972,National Institutes of Health
19,,Joshua Angrist,Economics,2021,Massachusetts Institute of Technology
20,,Edward Victor Appleton,Physics,1947,Department of Scientific and Industrial Research
21,,Werner Arber,Physiology or Medicine,1978,Biozentrum University of Basel
22,,Frances Arnold,Chemistry,2018,California Institute of Technology
23,,Svante Arrhenius,Chemistry,1903,Stockholm University
24,,Kenneth Arrow,Economics,1972,Harvard University
25,,Arthur Ashkin,Physics,2018,Bell Labs
26,,Francis William Aston,Chemistry,1922,University of Cambridge
27,,Robert Aumann,Economics,2005,Hebrew University of Jerusalem
28,,Richard Axel,Physiology or Medicine,2004,Columbia University
29,,Julius Axelrod,Physiology or Medicine,1970,National Institutes of Health
30,,Adolf von Baeyer,Chemistry,1905,Ludwig Maximilian University of Munich
31,,David Baltimore,Physiology or Medicine,1975,Massachusetts Institute of Technology
32,,Abhijit Banerjee,Economics,2019,Massachusetts Institute of Technology
33,,Frederick Banting,Physiology or Medicine,1923,University of Toronto
34,,Róbert Bárány,Physiology or Medicine,1914,University of Vienna
35,,John Bardeen,Physics,1956,University of Illinois Urbana-Champaign
36,,Physics,1972,University of Illinois Urbana-Champaign,
37,,Barry Barish,Physics,2017,California Institute of Technology
38,,LIGO Scientific Collaboration,,,
39,,Charles Glover Barkla,Physics,1917,University of Edinburgh
40,,Françoise Barré-Sinoussi,Physiology or Medicine,2008,Pasteur Institute
41,,Derek Barton,Chemistry,1969,Imperial College London
42,,Nikolay Basov,Physics,1964,Lebedev Physical Institute
43,,George Beadle,Physiology or Medicine,1958,California Institute of Technology
44,,Gary Becker,Economics,1992,University of Chicago
45,,Henri Becquerel,Physics,1903,École Polytechnique
46,,Georg Bednorz,Physics,1987,IBM Zurich Research Laboratory
47,,Emil von Behring,Physiology or Medicine,1901,University of Marburg
48,,Georg von Békésy,Physiology or Medicine,1961,Harvard University
49,,Baruj Benacerraf,Physiology or Medicine,1980,Harvard Medical School
50,,Paul Berg,Chemistry,1980,Stanford University
51,,Friedrich Bergius,Chemistry,1931,Heidelberg University
52,,IG Farben,,,
53,,Sune Bergström,Physiology or Medicine,1982,Karolinska Institute
54,,Hans Bethe,Physics,1967,Cornell University
55,,Eric Betzig,Chemistry,2014,Janelia Research Campus
56,,Bruce Beutler,Physiology or Medicine,2011,Scripps Research
57,,University of Texas Southwestern Medical Center,,,
58,,Gerd Binnig,Physics,1986,IBM Zurich Research Laboratory
59,,J. Michael Bishop,Physiology or Medicine,1989,UCSF School of Medicine
60,,James Black,Physiology or Medicine,1988,GKT School of Medical Education
61,,Elizabeth Blackburn,Physiology or Medicine,2009,"University of California, San Francisco"
62,,Patrick Blackett,Physics,1948,Victoria University of Manchester
63,,Günter Blobel,Physiology or Medicine,1999,Howard Hughes Medical Institute
64,,Rockefeller University,,,
65,,Felix Bloch,Physics,1952,Stanford University
66,,Konrad Emil Bloch,Physiology or Medicine,1964,Harvard University
67,,Nicolaas Bloembergen,Physics,1981,Harvard University
68,,Baruch Samuel Blumberg,Physiology or Medicine,1976,Lankenau Institute for Medical Research
69,,Aage Bohr,Physics,1975,Niels Bohr Institute
70,,Niels Bohr,Physics,1922,University of Copenhagen
71,,Jules Bordet,Physiology or Medicine,1919,Université libre de Bruxelles
72,,Max Born,Physics,1954,University of Edinburgh
73,,Carl Bosch,Chemistry,1931,Heidelberg University
74,,IG Farben,,,
75,,Walther Bothe,Physics,1954,Heidelberg University
76,,Max Planck Institute for Medical Research,,,
77,,Daniel Bovet,Physiology or Medicine,1957,Istituto Superiore di Sanità
78,,Paul D. Boyer,Chemistry,1997,"University of California, Los Angeles"
79,,Willard Boyle,Physics,2009,Bell Labs
80,,Lawrence Bragg,Physics,1915,Victoria University of Manchester
81,,William Henry Bragg,Physics,1915,University College London
82,,Walter Houser Brattain,Physics,1956,Bell Labs
83,,Karl Ferdinand Braun,Physics,1909,University of Strasbourg
84,,Sydney Brenner,Physiology or Medicine,2002,Molecular Sciences Institute
85,,Percy Williams Bridgman,Physics,1946,Harvard University
86,,Bertram Brockhouse,Physics,1994,McMaster University
87,,Louis de Broglie,Physics,1929,Institut Henri Poincaré
88,,Herbert C. Brown,Chemistry,1979,Purdue University
89,,Michael Stuart Brown,Physiology or Medicine,1985,University of Texas Southwestern Medical Center
90,,James M. Buchanan,Economics,1986,George Mason University
91,,Eduard Buchner,Chemistry,1907,Agricultural University of Berlin
92,,Linda B. Buck,Physiology or Medicine,2004,Fred Hutchinson Cancer Research Center
93,,Ralph Bunche,Peace,1950,Harvard University
94,,Macfarlane Burnet,Physiology or Medicine,1960,WEHI
95,,Adolf Butenandt,Chemistry,1939,Humboldt University of Berlin
96,,Max Planck Institute of Biochemistry,,,
97,,Nicholas Murray Butler,Peace,1931,Columbia University
98,,Melvin Calvin,Chemistry,1961,"University of California, Berkeley"
99,,William C. Campbell,Physiology or Medicine,2015,Drew University
100,,Mario Capecchi,Physiology or Medicine,2007,Howard Hughes Medical Institute
101,,University of Utah,,,
102,,David Card,Economics,2021,"University of California, Berkeley"
103,,Arvid Carlsson,Physiology or Medicine,2000,University of Gothenburg
104,,Alexis Carrel,Physiology or Medicine,1912,Rockefeller University
105,,Thomas Cech,Chemistry,1989,University of Colorado Boulder
106,,James Chadwick,Physics,1935,University of Liverpool
107,,Ernst Chain,Physiology or Medicine,1945,University of Oxford
108,,Martin Chalfie,Chemistry,2008,Columbia University
109,,Owen Chamberlain,Physics,1959,"University of California, Berkeley"
110,,Subrahmanyan Chandrasekhar,Physics,1983,University of Chicago
111,,Georges Charpak,Physics,1992,CERN
112,,ESPCI Paris,,,
113,,Emmanuelle Charpentier,Chemistry,2020,Max Planck Unit for the Science of Pathogens
114,,Yves Chauvin,Chemistry,2005,French Institute of Petroleum
115,,Pavel Cherenkov,Physics,1958,Lebedev Physical Institute
116,,Steven Chu,Physics,1997,Stanford University
117,,Aaron Ciechanover,Chemistry,2004,Technion – Israel Institute of Technology
118,,Albert Claude,Physiology or Medicine,1974,Université catholique de Louvain
119,,Ronald Coase,Economics,1991,University of Chicago
120,,John Cockcroft,Physics,1951,Atomic Energy Research Establishment
121,,Stanley Cohen,Physiology or Medicine,1986,Vanderbilt University School of Medicine
122,,Claude Cohen-Tannoudji,Physics,1997,Collège de France
123,,ENS Paris,,,
124,,Arthur Compton,Physics,1927,University of Chicago
125,,Leon Cooper,Physics,1972,Brown University
126,,Elias James Corey,Chemistry,1990,Harvard University
127,,Carl Ferdinand Cori,Physiology or Medicine,1947,Washington University in St. Louis
128,,Gerty Cori,Physiology or Medicine,1947,Washington University in St. Louis
129,,Allan MacLeod Cormack,Physiology or Medicine,1979,Tufts University
130,,Eric Allin Cornell,Physics,2001,JILA
131,,John Cornforth,Chemistry,1975,University of Sussex
132,,André Frédéric Cournand,Physiology or Medicine,1956,Bellevue Hospital
133,,Donald J. Cram,Chemistry,1987,"University of California, Los Angeles"
134,,Francis Crick,Physiology or Medicine,1962,MRC Laboratory of Molecular Biology
135,,James Cronin,Physics,1980,University of Chicago
136,,Paul J. Crutzen,Chemistry,1995,Max Planck Institute for Chemistry
137,,Marie Curie,Chemistry,1911,Sorbonne University
138,,Pierre Curie,Physics,1903,ESPCI Paris
139,,Robert Curl,Chemistry,1996,Rice University
140,,Henry Hallett Dale,Physiology or Medicine,1936,National Institute for Medical Research
141,,Gustaf Dalén,Physics,1912,AGA AB
142,,Henrik Dam,Physiology or Medicine,1943,Technical University of Denmark
143,,Jean Dausset,Physiology or Medicine,1980,University of Paris
144,,Raymond Davis Jr.,Physics,2002,University of Pennsylvania
145,,Clinton Davisson,Physics,1937,Bell Labs
146,,Angus Deaton,Economics,2015,Princeton University
147,,Gérard Debreu,Economics,1983,"University of California, Berkeley"
148,,Peter Debye,Chemistry,1936,Humboldt University of Berlin
149,,Max Planck Institute for Physics,,,
150,,Hans Georg Dehmelt,Physics,1989,University of Washington
151,,Johann Deisenhofer,Chemistry,1988,Howard Hughes Medical Institute
152,,University of Texas Southwestern Medical Center,,,
153,,Max Delbrück,Physiology or Medicine,1969,California Institute of Technology
154,,Peter Diamond,Economics,2010,Massachusetts Institute of Technology
155,,Otto Diels,Physics,1905,University of Kiel
156,,Paul Dirac,Physics,1933,University of Cambridge
157,,Peter C. Doherty,Physiology or Medicine,1996,St. Jude Children's Research Hospital
158,,Edward Adelbert Doisy,Physiology or Medicine,1943,Saint Louis University
159,,Gerhard Domagk,Physiology or Medicine,1939,University of Münster
160,,Jennifer Doudna,Chemistry,2020,"University of California, Berkeley"
161,,Jacques Dubochet,Chemistry,2017,University of Lausanne
162,,Esther Duflo,Economics,2019,Massachusetts Institute of Technology
163,,Renato Dulbecco,Physiology or Medicine,1975,Imperial Cancer Research Fund
164,,Christian de Duve,Physiology or Medicine,1974,Rockefeller University
165,,Université catholique de Louvain,,,
166,,John Eccles,Physiology or Medicine,1963,Australian National University
167,,Gerald Edelman,Physiology or Medicine,1972,Rockefeller University
168,,Robert Edwards,Physiology or Medicine,2010,University of Cambridge
169,,Paul Ehrlich,Physiology or Medicine,1908,Paul Ehrlich Institute
170,,University of Göttingen,,,
171,,Manfred Eigen,Chemistry,1967,Max Planck Institute for Biophysical Chemistry
172,,Christiaan Eijkman,Physiology or Medicine,1929,Utrecht University
173,,Albert Einstein,Physics,1921,Max Planck Institute for Physics
174,,Willem Einthoven,Physiology or Medicine,1924,Leiden University
175,,Gertrude B. Elion,Physiology or Medicine,1988,Wellcome Research Laboratories
176,,John Franklin Enders,Physiology or Medicine,1954,Boston Children's Hospital
177,,Harvard Medical School,,,
178,,Robert F. Engle,Economics,2003,New York University
179,,François Englert,Physics,2013,Université libre de Bruxelles
180,,Joseph Erlanger,Physiology or Medicine,1944,Washington University in St. Louis
181,,Richard R. Ernst,Chemistry,1991,ETH Zurich
182,,Gerhard Ertl,Chemistry,2007,Fritz Haber Institute of the Max Planck Society
183,,Leo Esaki,Physics,1973,Thomas J. Watson Research Center
184,,Ulf von Euler,Physiology or Medicine,1970,Karolinska Institute
185,,Hans von Euler-Chelpin,Chemistry,1929,Stockholm University
186,,Martin Evans,Physiology or Medicine,2007,Cardiff University
187,,Eugene Fama,Economics,2013,University of Chicago
188,,John B. Fenn,Chemistry,2002,Virginia Commonwealth University
189,,Ben Feringa,Chemistry,2016,University of Groningen
190,,Enrico Fermi,Physics,1938,Sapienza University of Rome
191,,Albert Fert,Physics,2007,Paris-Sud University
192,,Unité Mixte de Physique CNRS/THALES,,,
193,,Richard Feynman,Physics,1965,California Institute of Technology
194,,Johannes Fibiger,Physiology or Medicine,1926,University of Copenhagen
195,,Niels Ryberg Finsen,Physiology or Medicine,1903,Finsen Medical Light Institute
196,,Andrew Fire,Physiology or Medicine,2006,Stanford University School of Medicine
197,,Edmond H. Fischer,Physiology or Medicine,1992,University of Washington
198,,Emil Fischer,Chemistry,1902,Humboldt University of Berlin
199,,Ernst Otto Fischer,Chemistry,1973,Technical University of Munich
200,,Hans Fischer,Chemistry,1930,Technical University of Munich
201,,Val Logsdon Fitch,Physics,1980,Princeton University
202,,Alexander Fleming,Physiology or Medicine,1945,University College London
203,,Howard Florey,Physiology or Medicine,1945,University of Oxford
204,,Paul Flory,Chemistry,1974,Stanford University
205,,Robert Fogel,Economics,1993,University of Chicago
206,,Werner Forssmann,Physiology or Medicine,1956,University of Mainz
207,,William Alfred Fowler,Physics,1983,California Institute of Technology
208,,James Franck,Physics,1925,University of Göttingen
209,,Ilya Frank,Physics,1958,Lebedev Physical Institute
210,,Moscow State University,,,
211,,Joachim Frank,Chemistry,2017,Columbia University
212,,Jerome Isaac Friedman,Physics,1990,Massachusetts Institute of Technology
213,,Milton Friedman,Economics,1976,University of Chicago
214,,Karl von Frisch,Physiology or Medicine,1973,Ludwig Maximilian University of Munich
215,,Ragnar Frisch,Economics,1969,University of Oslo
216,,Kenichi Fukui,Chemistry,1981,Kyoto University
217,,Robert F. Furchgott,Physiology or Medicine,1998,SUNY Downstate Medical Center
218,,Dennis Gabor,Physics,1971,Imperial College London
219,,Daniel Carleton Gajdusek,Physiology or Medicine,1976,National Institutes of Health
220,,Herbert Spencer Gasser,Physiology or Medicine,1944,Rockefeller University
221,,Riccardo Giacconi,Physics,2002,"Associated Universities, Inc."
222,,Ivar Giaever,Physics,1973,General Electric
223,,Andre Geim,Physics,2010,University of Manchester
224,,Murray Gell-Mann,Physics,1969,California Institute of Technology
225,,Pierre-Gilles de Gennes,Physics,1991,Collège de France
226,,Reinhard Genzel,Physics,2020,Max Planck Institute for Extraterrestrial Physics
227,,"University of California, Berkeley",,,
228,,Andrea M. Ghez,Physics,2020,"University of California, Los Angeles"
229,,William Giauque,Chemistry,1949,"University of California, Berkeley"
230,,Walter Gilbert,Chemistry,1980,Harvard University
231,,Alfred G. Gilman,Physiology or Medicine,1994,University of Texas Southwestern Medical Center
232,,Vitaly Ginzburg,Physics,2003,Lebedev Physical Institute
233,,Donald A. Glaser,Physics,1960,"University of California, Berkeley"
234,,Sheldon Lee Glashow,Physics,1979,Harvard University
235,,Roy J. Glauber,Physics,2005,Harvard University
236,,Joseph L. Goldstein,Physiology or Medicine,1985,University of Texas Southwestern Medical Center
237,,Camillo Golgi,Physiology or Medicine,1906,University of Pavia
238,,John B. Goodenough,Chemistry,2019,University of Texas at Austin
239,,Clive Granger,Economics,2003,"University of California, San Diego"
240,,Ragnar Granit,Physiology or Medicine,1967,Karolinska Institute
241,,Paul Greengard,Physiology or Medicine,2000,Rockefeller University
242,,Carol W. Greider,Physiology or Medicine,2009,Johns Hopkins School of Medicine
243,,Victor Grignard,Chemistry,1912,Nancy-Université
244,,David Gross,Physics,2004,Kavli Institute for Theoretical Physics
245,,Robert H. Grubbs,Chemistry,2005,California Institute of Technology
246,,Peter Grünberg,Physics,2007,Forschungszentrum Jülich
247,,Charles Édouard Guillaume,Physics,1920,International Bureau of Weights and Measures
248,,Roger Guillemin,Physiology or Medicine,1977,Salk Institute for Biological Studies
249,,Allvar Gullstrand,Physiology or Medicine,1911,Uppsala University
250,,John Gurdon,Physiology or Medicine,2012,Gurdon Institute
251,,Trygve Haavelmo,Economics,1989,University of Oslo
252,,Fritz Haber,Chemistry,1918,Fritz Haber Institute of the Max Planck Society
253,,Otto Hahn,Chemistry,1944,Max Planck Institute for Chemistry
254,,Duncan Haldane,Physics,2016,Princeton University
255,,Jeffrey C. Hall,Physiology or Medicine,2017,University of Maine
256,,John L. Hall,Physics,2005,JILA
257,,National Institute of Standards and Technology,,,
258,,Theodor W. Hänsch,Physics,2005,Ludwig Maximilian University of Munich
259,,Max Planck Institute of Quantum Optics,,,
260,,Lars Peter Hansen,Economics,2013,University of Chicago
261,,Arthur Harden,Chemistry,1929,University College London
262,,Serge Haroche,Physics,2012,Collège de France
263,,ENS Paris,,,
264,,John Harsanyi,Economics,1994,"University of California, Berkeley"
265,,Oliver Hart,Economics,2016,Harvard University
266,,Haldan Keffer Hartline,Physiology or Medicine,1967,Rockefeller University
267,,Leland H. Hartwell,Physiology or Medicine,2001,Fred Hutchinson Cancer Research Center
268,,Odd Hassel,Chemistry,1969,University of Oslo
269,,Klaus Hasselmann,Physics,2020,Max Planck Institute for Meteorology
270,,Herbert A. Hauptman,Chemistry,1985,Medical Foundation of Buffalo
271,,Harald zur Hausen,Physiology or Medicine,2008,German Cancer Research Center
272,,Norman Haworth,Chemistry,1937,University of Birmingham
273,,Richard F. Heck,Chemistry,2010,University of Delaware
274,,James Heckman,Economics,2000,University of Chicago
275,,Alan J. Heeger,Chemistry,2000,"University of California, Santa Barbara"
276,,Werner Heisenberg,Physics,1932,Leipzig University
277,,Stefan Hell,Chemistry,2014,German Cancer Research Center
278,,Max Planck Institute for Biophysical Chemistry,,,
279,,Philip Showalter Hench,Physiology or Medicine,1950,Mayo Clinic
280,,Richard Henderson,Chemistry,2017,MRC Laboratory of Molecular Biology
281,,Dudley R. Herschbach,Chemistry,1986,Harvard University
282,,Alfred Hershey,Physiology or Medicine,1969,Carnegie Institution for Science
283,,Avram Hershko,Chemistry,2004,Technion – Israel Institute of Technology
284,,Gustav Ludwig Hertz,Physics,1925,Halle University
285,,Gerhard Herzberg,Chemistry,1971,National Research Council Canada
286,,Victor Francis Hess,Physics,1936,University of Innsbruck
287,,Walter Rudolf Hess,Physiology or Medicine,1949,University of Zurich
288,,George de Hevesy,Chemistry,1943,Stockholm University
289,,Antony Hewish,Physics,1974,University of Cambridge
290,,Corneille Heymans,Physiology or Medicine,1938,Ghent University
291,,Jaroslav Heyrovský,Chemistry,1959,Czechoslovak Academy of Sciences
292,,John R. Hicks,Economics,1972,"All Souls College, Oxford"
293,,Peter Higgs,Physics,2013,University of Edinburgh
294,,Archibald Hill,Physiology or Medicine,1922,University College London
295,,Cyril Norman Hinshelwood,Chemistry,1956,University of Oxford
296,,George H. Hitchings,Physiology or Medicine,1988,Wellcome Research Laboratories
297,,Alan Hodgkin,Physiology or Medicine,1963,University of Cambridge
298,,Dorothy Hodgkin,Chemistry,1964,University of Oxford
299,,Jacobus Henricus van 't Hoff,Chemistry,1901,Humboldt University of Berlin
300,,Jules A. Hoffmann,Physiology or Medicine,2011,University of Strasbourg
301,,Roald Hoffmann,Chemistry,1981,Cornell University
302,,Robert Hofstadter,Physics,1961,Stanford University
303,,Robert W. Holley,Physiology or Medicine,1968,Cornell University
304,,Bengt Holmström,Economics,2016,Massachusetts Institute of Technology
305,,Tasuku Honjo,Physiology or Medicine,2018,Kyoto University
306,,Gerard 't Hooft,Physics,1999,Utrecht University
307,,Frederick Gowland Hopkins,Physiology or Medicine,1929,University of Cambridge
308,,H. Robert Horvitz,Physiology or Medicine,2002,Massachusetts Institute of Technology
309,,Michael Houghton,Physiology or Medicine,2020,University of Alberta
310,,Godfrey Hounsfield,Physiology or Medicine,1979,Central Research Laboratories
311,,Bernardo Houssay,Physiology or Medicine,1947,Instituto de Biología y Medicina Experimental
312,,David H. Hubel,Physiology or Medicine,1981,Harvard Medical School
313,,Robert Huber,Chemistry,1988,Max Planck Institute of Biochemistry
314,,Charles Brenton Huggins,Physiology or Medicine,1966,University of Chicago
315,,Russell Alan Hulse,Physics,1993,Princeton University
316,,Tim Hunt,Physiology or Medicine,2001,Imperial Cancer Research Fund
317,,Leonid Hurwicz,Economics,2007,University of Minnesota
318,,Andrew Huxley,Physiology or Medicine,1963,University College London
319,,Louis Ignarro,Physiology or Medicine,1998,David Geffen School of Medicine at UCLA
320,,Guido Imbens,Economics,2021,Stanford University
321,,François Jacob,Physiology or Medicine,1965,Pasteur Institute
322,,J. Hans D. Jensen,Physics,1963,Heidelberg University
323,,Niels Kaj Jerne,Physiology or Medicine,1984,Basel Institute for Immunology
324,,Frédéric Joliot-Curie,Chemistry,1935,Institut du Radium
325,,Irène Joliot-Curie,Chemistry,1935,Institut du Radium
326,,Brian Josephson,Physics,1973,University of Cambridge
327,,David Julius,Physiology or Medicine,2021,"University of California, San Francisco"
328,,William Kaelin Jr.,Physiology or Medicine,2019,Brigham and Women's Hospital
329,,Dana–Farber Cancer Institute,,,
330,,Harvard Medical School,,,
331,,Howard Hughes Medical Institute,,,
332,,Daniel Kahneman,Economics,2002,Princeton University
333,,Takaaki Kajita,Physics,2015,University of Tokyo
334,,Eric Kandel,Physiology or Medicine,2000,Columbia University
335,,Leonid Kantorovich,Economics,1975,Academy of Sciences of the Soviet Union
336,,Charles K. Kao,Physics,2009,Chinese University of Hong Kong
337,,Standard Telecommunication Laboratories,,,
338,,Pyotr Kapitsa,Physics,1978,Academy of Sciences of the Soviet Union
339,,Jerome Karle,Chemistry,1985,United States Naval Research Laboratory
340,,Martin Karplus,Chemistry,2013,Harvard University
341,,University of Strasbourg,,,
342,,Paul Karrer,Chemistry,1937,University of Zurich
343,,Alfred Kastler,Physics,1966,ENS Paris
344,,Bernard Katz,Physiology or Medicine,1970,University College London
345,,Edward Calvin Kendall,Physiology or Medicine,1950,Mayo Clinic
346,,Henry Way Kendall,Physics,1990,Massachusetts Institute of Technology
347,,John Kendrew,Chemistry,1962,MRC Laboratory of Molecular Biology
348,,Wolfgang Ketterle,Physics,2001,Massachusetts Institute of Technology
349,,Har Gobind Khorana,Physiology or Medicine,1968,University of Wisconsin–Madison
350,,Jack Kilby,Physics,2000,Texas Instruments
351,,Lawrence Klein,Economics,1980,University of Pennsylvania
352,,Klaus von Klitzing,Physics,1985,Max Planck Institute for Solid State Research
353,,Aaron Klug,Chemistry,1982,MRC Laboratory of Molecular Biology
354,,Makoto Kobayashi,Physics,2008,KEK
355,,Brian Kobilka,Chemistry,2012,Stanford University School of Medicine
356,,Robert Koch,Physiology or Medicine,1905,Institute for Infectious Diseases
357,,Emil Theodor Kocher,Physiology or Medicine,1909,University of Bern
358,,Georges J. F. Köhler,Physiology or Medicine,1984,Basel Institute for Immunology
359,,Walter Kohn,Chemistry,1998,"University of California, Santa Barbara"
360,,Tjalling Koopmans,Economics,1975,Yale University
361,,Arthur Kornberg,Physiology or Medicine,1959,Stanford University
362,,Roger D. Kornberg,Chemistry,2006,Stanford University
363,,Masatoshi Koshiba,Physics,2002,University of Tokyo
364,,Albrecht Kossel,Physiology or Medicine,1910,Heidelberg University
365,,J. Michael Kosterlitz,Physics,2016,Brown University
366,,Edwin G. Krebs,Physiology or Medicine,1992,University of Washington
367,,Hans Krebs,Physiology or Medicine,1953,University of Sheffield
368,,Michael Kremer,Economics,2019,Harvard University
369,,Herbert Kroemer,Physics,2000,"University of California, Santa Barbara"
370,,August Krogh,Physiology or Medicine,1920,University of Copenhagen
371,,Harry Kroto,Chemistry,1996,University of Sussex
372,,Paul Krugman,Economics,2008,Princeton University
373,,Richard Kuhn,Chemistry,1938,Heidelberg University
374,,Max Planck Institute for Medical Research,,,
375,,Polykarp Kusch,Physics,1955,Columbia University
376,,Simon Kuznets,Economics,1971,Harvard University
377,,Finn E. Kydland,Economics,2004,Carnegie Mellon University
378,,"University of California, Santa Barbara",,,
379,,Willis Lamb,Physics,1955,Stanford University
380,,Lev Landau,Physics,1962,Academy of Sciences of the Soviet Union
381,,Karl Landsteiner,Physiology or Medicine,1930,Rockefeller University
382,,Irving Langmuir,Chemistry,1932,General Electric
383,,Max von Laue,Physics,1914,Goethe University Frankfurt
384,,Robert B. Laughlin,Physics,1998,Stanford University
385,,Paul Lauterbur,Physiology or Medicine,2003,University of Illinois Urbana-Champaign
386,,Charles Louis Alphonse Laveran,Physiology or Medicine,1907,Pasteur Institute
387,,Ernest Lawrence,Physics,1939,"University of California, Berkeley"
388,,Joshua Lederberg,Physiology or Medicine,1958,University of Wisconsin–Madison
389,,Leon M. Lederman,Physics,1988,Fermilab
390,,David Lee,Physics,1996,Cornell University
